Tank,Tray,Light.Mesh,Temperature,Light,Mean.Light,SE.Light,Mean.Temp,SE.Temp,Coral.ID,Species,Area.cm2,Growth.mg.cm2.d,Respiration.n.mol.cm2.min,Photosynthesis.nmol.cm2.min
5,F,0,cold,high,768,9,25.88,0.05,76,P. meandrina,14,0.423,,
5,F,0,cold,high,768,9,25.88,0.05,88,P. meandrina,20.8,0.352,,
7,Q,0,cold,high,757,50,26.12,0.02,91,P. meandrina,21.1,0.499,,
8,O,0,cold,high,779,38,26.05,0.02,107,P. meandrina,17.2,0.825,,
7,Q,0,cold,high,757,50,26.12,0.02,115,P. meandrina,21.9,0.414,-10.149,2.329
8,O,0,cold,high,779,38,26.05,0.02,117,P. meandrina,28.1,0.419,-10.921,1.073
5,F,0,cold,high,768,9,25.88,0.05,120,P. meandrina,13.9,0.205,,
7,J,3,cold,low,326,34,26.12,0.02,67,P. meandrina,19,0.401,-14.712,8.474
8,P,3,cold,low,288,44,26.05,0.02,73,P. meandrina,21.8,0.393,-8.26,18.314
8,P,3,cold,low,288,44,26.05,0.02,74,P. meandrina,19.3,0.402,,
7,J,3,cold,low,326,34,26.12,0.02,75,P. meandrina,13.5,0.407,,
7,J,3,cold,low,326,34,26.12,0.02,97,P. meandrina,17.3,0.419,-16.564,7.728
5,D,3,cold,low,232,24,25.88,0.05,108,P. meandrina,13.2,0.421,,
8,P,3,cold,low,288,44,26.05,0.02,110,P. meandrina,15.9,0.414,-8.998,5.468
5,D,3,cold,low,232,24,25.88,0.05,113,P. meandrina,17.1,0.274,,
5,E,2,cold,medium,521,7,25.88,0.05,26,P. meandrina,15.4,0.323,,
8,M,2,cold,medium,518,20,26.05,0.02,62,P. meandrina,13.6,0.651,-17.51,6.09
7,K,2,cold,medium,543,19,26.12,0.02,63,P. meandrina,14.8,0.42,-16.035,9.528
8,M,2,cold,medium,518,20,26.05,0.02,65,P. meandrina,13.9,0.395,-20.034,4.56
5,E,2,cold,medium,521,7,25.88,0.05,92,P. meandrina,22.7,0.261,,
7,K,2,cold,medium,543,19,26.12,0.02,95,P. meandrina,21.9,0.334,,
5,E,2,cold,medium,521,7,25.88,0.05,98,P. meandrina,18.4,0.35,,
5,E,2,cold,medium,521,7,25.88,0.05,104,P. meandrina,17,0.538,,
8,M,2,cold,medium,518,20,26.05,0.02,111,P. meandrina,16.5,0.421,,
9,R,0,hot,high,771,21,28.82,0.04,66,P. meandrina,12.2,0.618,-14.466,11.057
2,C,0,hot,high,815,13,28.82,0.04,70,P. meandrina,21.6,0.532,-13.027,8.231
6,H,0,hot,high,751,25,29.05,0.04,77,P. meandrina,21.8,0.574,,
6,H,0,hot,high,751,25,29.05,0.04,87,P. meandrina,20,0.699,,
2,C,0,hot,high,815,13,28.82,0.04,89,P. meandrina,21.1,0.402,,
2,C,0,hot,high,815,13,28.82,0.04,99,P. meandrina,18.3,0.388,-22.027,11.926
6,H,0,hot,high,751,25,29.05,0.04,100,P. meandrina,21.9,0.307,,
9,R,0,hot,high,771,21,28.82,0.04,112,P. meandrina,14.1,0.239,,
