Experiment,Coral.ID,Haplotype,Species,Coral.ID,Tank,Fv/Fm_decimal,Light,Temperature
Fixed Temp Varied light,A17,Haplotype 11,P. cf. effusa,17,10,0.608,917,28.6
Fixed Temp Varied light,A35,Haplotype 1a,P. grandis,35,9,0.639,131,29.2
Fixed Temp Varied light,A22,Haplotype 1a,P. grandis,22,5,0.637,637,29.2
Fixed Temp Varied light,A18,Haplotype 1a,P. grandis,18,10,0.573,917,28.6
Fixed Temp Varied light,A03,Haplotype 1a,P. grandis,3,7,0.591,1155,29.4
Fixed Temp Varied light,A30,Haplotype 1a,P. grandis,Missed in error,7,0.635,1155,29.4
Fixed Temp Varied light,B12,Haplotype 1a,P. meandrina,12,9,0.598,131,29.2
Fixed Temp Varied light,B25,Haplotype 1a,P. meandrina,25,9,0.675,131,29.2
Fixed Temp Varied light,B17,Haplotype 8a,P. meandrina,17,11,0.678,398,28.9
Fixed Temp Varied light,B22,Haplotype 1a,P. meandrina,22,11,0.659,398,28.9
Fixed Temp Varied light,B11,Haplotype 1a,P. meandrina,11,10,0.548,917,28.6
Fixed Temp Varied light,B26,Haplotype 1a,P. meandrina,26,10,0.66,917,28.6
Fixed Temp Varied light,B10,Haplotype 1a,P. meandrina,10,7,0.635,1155,29.4
Fixed Temp Varied light,A23,Haplotype 3b,P. verrucosa,23,9,0.703,131,29.2
Fixed Temp Varied light,A27,Haplotype 3b,P. verrucosa,27,9,0.707,131,29.2
Fixed Temp Varied light,A38,Haplotype 3e,P. verrucosa,38,9,0.671,131,29.2
Fixed Temp Varied light,B30,Haplotype 3b,P. verrucosa,30,9,0.692,131,29.2
Fixed Temp Varied light,B44,Haplotype 3b,P. verrucosa,44,9,0.686,131,29.2
Fixed Temp Varied light,A01,Haplotype 3b,P. verrucosa,1,11,0.639,398,28.9
Fixed Temp Varied light,A16,Haplotype 3b,P. verrucosa,16,11,0.658,398,28.9
Fixed Temp Varied light,A19,Haplotype 3h,P. verrucosa,19,11,0.65,398,28.9
Fixed Temp Varied light,A40,Haplotype 3b,P. verrucosa,40,11,0.681,398,28.9
Fixed Temp Varied light,B27,Haplotype 3b,P. verrucosa,27,11,0.652,398,28.9
